video_id,channel_id,publish_time,category,subscriber_count,avg_last10_views,duration_seconds
SiyJBK5ZJAs,UCcbCQA4IOpj-L6F2jneXikQ,2026-02-26T16:15:07Z,People & Blogs,25900,20534.8,31
VLko5oBWx70,UCDvVyzHmiJKoZkx8Tdy346w,2026-02-26T16:11:07Z,Sports,91900,8901.9,0
8t826XvV7vw,UCrnHwuTQaDobP-pujZSBZ_g,2026-02-26T16:08:24Z,Howto & Style,18000,61610.7,59
yLgCet0JqJs,UC8CTq9WR81sjlhsbbTbFtCQ,2026-02-26T16:01:23Z,People & Blogs,10100,4864.4,41
is1z5gd46DM,UCjg-XZIou0FXmGZ4SiJ8tqQ,2026-02-26T16:01:05Z,Entertainment,92400,1987.0,50
Fw5vlcD7VCY,UCt0-p3_S_xP_ifJIlS9HE5Q,2026-02-26T16:00:20Z,Autos & Vehicles,20200,2539.9,904
Lu0nkNQaWZ4,UCX8vrba-XZ_17LX1lzWfQog,2026-02-26T15:58:53Z,Entertainment,91900,24838.6,26
1y22olRXAz0,UC6kub3ePQR9Tq2PlVNw0EIw,2026-02-26T15:49:35Z,Gaming,13600,59917.0,70
3IKsRKbwYLk,UCCSHrUoeXxxBBZgm64okr1A,2026-02-26T15:46:04Z,People & Blogs,26000,197220.3,58
fWocmEI5C2s,UCoGeAPYfUZOAKHCTVBVzaWQ,2026-02-26T15:43:20Z,People & Blogs,87400,14164.1,49
DBe2ej3Z1RY,UCcoIvw2OqQ7Zwydu1pHAjcg,2026-02-26T15:39:52Z,People & Blogs,93700,1037.3,26
TgwxzLExoyE,UCTzWvIoANQd-0W3M_htV_XA,2026-02-26T15:38:59Z,People & Blogs,12100,11628.4,26
djXlXsPJv_8,UCkR1dCiSWYJiv4YERyXXdqQ,2026-02-26T15:35:29Z,People & Blogs,69100,71868.6,85
R4zp7vulnE8,UCs1I7_qSzO6OwaJ0e7caaJw,2026-02-26T18:08:57Z,People & Blogs,23600,8669.7,75
LrCJGE9BwTY,UC-gaa8Wq74A0EoR16br5REQ,2026-02-26T18:00:52Z,People & Blogs,15700,6105.2,63
SETIbv51t2c,UCutdqRk_5JZnPR_UX3R1PBw,2026-02-26T18:01:08Z,People & Blogs,14000,2389.1,60
2sYOhnHfoMo,UCHc2769Bq3NeCc3CyxhUfDA,2026-02-26T17:58:17Z,People & Blogs,18700,7536.1,90
R7AVd3WhQ1I,UCTugICetb2Q-KatLufvJ76g,2026-02-26T17:58:21Z,People & Blogs,65700,27362.1,69
kPDoVEx00As,UCWJ7WvSku58hc9HSySYiQcg,2026-02-26T17:46:45Z,People & Blogs,13800,2119.1,35
cCMvyt66eBA,UCVks6LzJT-JmwGLQ1sUbfTw,2026-02-26T17:38:03Z,Science & Technology,44800,4587.6,9
r-TdxOyO1Oo,UCcCG_Kicq-m9KwjByOayjdg,2026-02-26T17:22:00Z,People & Blogs,60400,40.0,63
ze21zDV-UB0,UCoCnigPHrb-Fpim48wbKxLg,2026-02-26T17:00:00Z,Music,45600,266.5,549
esL1F-Vlmdw,UCcCG_Kicq-m9KwjByOayjdg,2026-02-26T16:55:00Z,People & Blogs,60400,40.0,74
6zoWs6pUxpo,UCR8DANN-C5EPYZw1dB3pPrg,2026-02-26T16:53:54Z,People & Blogs,49300,31328.4,9
cuO8vGJUNMo,UCxvYiKg0DOb4Me2UNvX0rFw,2026-02-26T19:30:08Z,People & Blogs,16300,3329.4,28
Me7FKiSKJlU,UCRAHplBpv2cCXPNvfvE02DQ,2026-02-26T19:17:27Z,Gaming,61100,1669.1,25
S_RrQvAmaCM,UCoSovcGwMZEYDDlpntOls_A,2026-02-26T19:04:12Z,Comedy,98600,45928.2,69
NoyFTUV6Qzw,UCs_R--5Pah9G4sQbvr5eULw,2026-02-26T19:00:17Z,People & Blogs,26600,9660.7,1859
q9jKDARnxQ8,UC30rrPkgk5uD0l6V26OYYTA,2026-02-26T18:33:00Z,People & Blogs,18000,960.9,42
EngvIo_TXPU,UCK4SxmXRTyWe9WFa0wtPrrQ,2026-02-26T18:19:24Z,Music,22900,3899.2,23
BHvJILZcwxM,UCOphh4ldTHKxtzO2JZ-nRXA,2026-02-26T18:13:47Z,News & Politics,17600,1400.0,510
ixnE7hZCJZI,UCbG4kuJnziUBfwxONmH7hiw,2026-02-26T18:14:26Z,Gaming,29600,6151.4,99
8duZ0zgkLVM,UCcuAI0MjfULGuekN-UliO2g,2026-02-26T18:13:09Z,People & Blogs,48500,16272.3,84
kbH5I76Idbk,UCk6rn_JzZBH-VGngjStJpVw,2026-02-26T18:00:50Z,People & Blogs,44400,7130.4,71
IILe43FGZsY,UCUDIEaB5qDwYSig2kZx-h-Q,2026-02-26T18:00:17Z,People & Blogs,13300,3422.3,2073
rNckbqLFbkg,UCDHUiPc2L5fnD5BWzrIDbRA,2026-02-26T17:59:12Z,People & Blogs,15800,2036.3,10
QcVL63rFV8Y,UCs4YwwEC4_jCiEX0Y7uwgzg,2026-02-26T17:47:17Z,People & Blogs,19900,1419.9,736
-F9ElFr0xgU,UCIwK2MTUakwREbC4qqAg95A,2026-02-26T17:43:56Z,Entertainment,11400,692.3,1142
